material_code,material_name,modelnum,huid_productline_name,baseunit_number,baseunit_name,group_name,group_type,materialattr,purchase_fixedleadtime,purchase_huid_batchqty,purchase_huid_minlotsize,product_fixedleadtime,material_standard_price,product_status
165-002316,YN525_脚架连接件3号,"""L*W*H：62*57.8*59.5mm;材质：QA66+30%CF，黑色嵌M4螺母1pcs""",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
849-000363,ST3.0*6自攻螺钉,圆头十字 ST3.0*6 镀锌铁,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
849-000287,M4*20_不锈钢杯头内六角滚花机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 70.1-2008",公用物料,pcs,个,原材料-组装料,五金件,外购,18.00,,,1.00,,已上架
849-000090,M6*8机牙螺丝,M6*8mm，圆头十字，304不锈钢,公用物料,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,,已上架
849-000759,M6*35_碳钢杯头内六角滚花机牙螺丝,"碳钢，黑色达克罗，强度等级：12.9级,中性盐雾72小时，符合GB/T 70.1-2008",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
972-000738,DDR3L,NT41K128M16JT-207 IT:K,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,112.00,,,1.00,33.599985,已上架
849-000626,M3*8_不锈钢平头倒边内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
849-000753,M4*D5*M25_不锈钢销钉螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
165-000257,1号电机支架底板圆柱（L=100mm）,"直径12mm,L=100mm",自动驾驶,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,10.799975,已上架
165-002072,YN580摄像头主支架_新,黑色塑胶QA66+30%CF，模内注塑&热熔铜螺母,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
165-000715,YN201防水透气膜,φ10*φ5白色防水透气棉（0.15防水透气棉+0.15高粘性防水背胶）,自动驾驶,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,35.00,,,1.00,,已上架
849-000962,M4*8不锈钢法兰内六角机牙螺丝_整圈耐落,"M4*8、304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",无人机,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,0.200010,已上架
849-000953,M3*20_不锈钢法兰内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,0.100118,已上架
849-000415,M2*3扁平头十字螺丝,L=3mm，碳钢/发黑耐落，十字扁平头，第3到第10个螺牙要整圈涂耐落漆,公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
849-000829,YN580单目转接支架,铝合金6061，去利边，阳极氧化黑色,公用物料,pcs,个,原材料-组装料,五金件,外购,28.00,,,1.00,,已上架
165-002330,YN525_关节防松按钮,"""L*W*H：26*17.5*16.4mm;QA66+30%玻纤，橙色，潘通号：QT1505C""",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
165-002285,YN525_机头支架右,黑色，QA66+30%,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
165-001945,YN580碳纤维反桨62寸,黑色，碳纤维,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
P61-000328,农业智能播种监控系统,YC402-0-D-14-NHH,智能播种,pcs,个,库存商品-产成品,播种监控包装成品,自制,1.00,,,1.00,,已上架
165-002352,YN525流量计出药口水管,"""外径14，内径12，PA波纹水管PA波纹管，预弯成型，长度：180mm""",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
770-000133,2+10P连接器堵头,2+10P连接器堵头，黑色，协顺连接器,公用物料,pcs,个,原材料-组装料,连接器2（非电子）,外购,35.00,,,1.00,,已上架
849-000751,M3*30_不锈钢法兰内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,24.00,,,1.00,,已上架
525-000178,YS508C雷达4G组件reID无卡-美国短线版,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,,,,1.00,,已上架
791-000001,406电机(KY),"带轴封,IPX5级防水",自动驾驶,pcs,个,原材料-半成品,406整机,外购,42.00,,,1.00,500.000027,已上架
165-001335,YN540S-药箱盖固定环,L*W*H：209*173*14；材质PP+30GF；带M4定制螺母,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
838-000318,天线,YN580 图传高增益 软胶棒天线,无人机,pcs,个,原材料-包装料,天线、传感器&摄像头,外购,35.00,,,1.00,,已上架
526-000005,北斗导航农机驾驶仪,YN812BDS-2.5GD(YN812插秧机-国内版),自动驾驶,pcs,个,库存商品-产成品,812包装成品,自制,,,,1.00,,已上架
849-000749,M4*24_不锈钢法兰内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,18.00,,,1.00,,已上架
849-001156,M4*7_不锈钢大平头倒边内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 70.1-2008",无人机,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,0.098649,已上架
165-001793,YN580_离心喷头线束压板,L*W*H：20.6*10.5*10mm；QA66+20%GF，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,0.700035,已上架
525-000023,YN580称重传感器组件,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
165-002593,150电调三相电防水盖密封圈,外径17mm，线径2.4mm，红色硅胶圈,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,0.237526,已上架
468-000371,种1-4标签,扎带标签，长180mm，材质pp，白色,智能播种,pcs,个,原材料-包装料,印刷类,外购,10.00,,,1.00,,已上架
165-001803,YN580机框内衬件-右,L*W*H：101.5*85*70mm；材质：QA66+15GF，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,3.360055,已上架
849-000871,M10*30_不锈钢杯头内六角滚花机牙螺丝,304不锈钢，本色，强度等级：A2-70，中性盐雾72小时，符合GB/T 70.1-2008,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-001818,YN580接口板减震脚垫,φ16*11.7mm，60度黑色硅胶,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,1.150001,已上架
308-000036,YN525旋转雷达组件V2.1,,无人机,pcs,个,原材料-半成品,HD525整机,自制,1.00,,,1.00,,已上架
525-000154,YN580外关节碳管3.0组件-1号,"""L*W*H：964.5*61.8*85.4mm， 材质：QA66+30%CF,黑色; 内嵌不锈钢关节轴套。 壁厚3mm碳管""",无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
165-002030,YN580药箱本体（70L）,L*W*H：636*532*497mm；吹塑工艺，改性PE材质，浅灰色QT429C，称重传感器配合的三个拐角处及出水口处做加强注塑嵌块,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
972-000493,定位模块,VM982,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,56.00,,,1.00,249.999957,已上架
784-000184,YN402_遥控器充电座_无Logo,,无人机,pcs,个,原材料-半成品,HD540PRO整机,自制,1.00,,,1.00,,已上架
165-002182,580管夹-右B,L*W*H：165.2*137.5*28mm；材质：PA6+30GF+增韧剂(牌号：ZGDBSLV PA6B30CX CK101-B)，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
972-000747,eMMC,CWEFMD008GN8RC,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,72.00,,,1.00,44.499965,已上架
165-001827,YN580雷达探照灯线卡,黑色塑胶QA66+20%GF，两个并排卡槽,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,0.949991,已上架
525-000092,YN580机臂动力套组件2号_M10_中性,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
972-000622,DDR3L,NT5CC256M16ER-EKI,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,84.00,,,1.00,64.839965,已上架
795-000760,YN580脚架横梁-后,"""E25mm*长425mm；壁厚1.0mm；材质：6061铝型材，T6时效表面阳极氧化黑色哑光""",无人机,pcs,个,原材料-组装料,通用机械零件,外购,35.00,,,1.00,17.099951,已上架
838-000094,J701摄像头,701模拟AHD摄像头，720P，正腾视讯，6米线长，昌俊3芯连接器，螺纹母头，带支架及固定螺丝,自动驾驶,pcs,个,原材料-包装料,天线、传感器&摄像头,自制,21.00,,,1.00,,已上架
165-002286,YN525_分电板防尘胶塞,φ15*11.5mm，50度黑色硅胶,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
276-000105,雾化盘组件,雾化盘组件  8mmX83mmX83mm,无人机,pcs,个,原材料-半成品,HD5150组装半成品,自制,,,,1.00,,已上架
525-000020,YN580脚架组件,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
308-000028,YN525探照灯模块,,无人机,pcs,个,原材料-半成品,HD525整机,自制,1.00,,,1.00,,已上架
795-000871,YN525_右方梁,"""L*W*H：510*70*30mm；管厚1.4mm;材质：6061铝型材，T6时效，攻牙M4表面阳极氧化黑色哑光""",无人机,pcs,个,原材料-组装料,通用机械零件,自制,21.00,,,1.00,,已上架
165-001787,YN580水泵出药口水管,"外径14，内径12,QA12水管，长度71mm，要求:水管无弯曲变形，要直，长度公差71mm±0.5mm",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,4.499999,已上架
308-000019,YN525动力套组件4号,,无人机,pcs,个,原材料-半成品,HD525整机,自制,35.00,,,1.00,,已上架
525-000191,580V3机臂动力套组件2号__双离心版本,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
362-000183,YN540 CW桨叶,40132 CW 两片,无人机,pcs,个,原材料-包装料,无人机组装料,外购,42.00,,,1.00,,已上架
308-000025,YN525机臂动力套组件2号,,无人机,pcs,个,原材料-半成品,HD525整机,自制,1.00,,,1.00,,已上架
454-000187,肖特基二极管,TS106,公用物料,pcs,个,原材料-电子料,二极管,外购,70.00,,,1.00,0.244984,已上架
308-000006,YN525分电板组件,分电板+铜板灌胶后组件，带6根线束,无人机,pcs,个,原材料-半成品,HD525整机,自制,1.00,,,1.00,,已上架
363-000206,701CAN口四米直连线束,线束总长4米，一端连接器A108L-8A，另一端连接器 CJ-M12防水4P-G101,监测终端,pcs,个,原材料-包装料,线束（包装线束）,外购,35.00,,,1.00,,已上架
849-000824,M3*8_不锈钢内六角平尾自攻螺丝,304不锈钢，本色，中性盐雾72小时,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
849-000744,M3*25_不锈钢法兰内六角机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时",公用物料,pcs,个,原材料-组装料,五金件,外购,24.00,,,1.00,,已上架
358-000081,N沟道MOS管,CSS138,公用物料,pcs,个,原材料-电子料,晶体管,外购,28.00,,,1.00,0.088027,已上架
165-002348,YN525药箱面罩,"""L*W*H：211*157*99：QA66+15GF,黑色""",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
972-000669,定位模块,VMD982,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,42.00,,,1.00,249.999957,已上架
795-000716,YN540S_离心喷头防水堵头密封圈,外径12mm，线径1.8mm   ，硅橡胶/60度，黑色,无人机,pcs,个,原材料-组装料,通用机械零件,外购,10.00,,,1.00,,已上架
795-000755,YN580主梁-后,"""L*W*H：460*70*40mm；管厚1.5mm；材质：6061铝型材，T6时效，攻牙M4表面阳极氧化黑色哑光""",无人机,pcs,个,原材料-组装料,通用机械零件,外购,35.00,,,1.00,57.000025,已上架
525-000094,YN580机臂动力套组件4号_M10_中性,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
849-000422,M2.5*20_不锈钢十字沉头平尾自攻螺丝,304不锈钢，本色，中性盐雾72小时，符合GB/T 946-2017,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
832-000009,新无线机具识别传感器,新无线机具识别传感器组装BOM,监测终端,pcs,个,原材料-半成品,倾角识别/姿态,自制,1.00,,,1.00,,已上架
849-000421,M2.5*8_不锈钢十字沉头机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 819.2-2016",公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-003102,580V3端部压线盖板,"材料：QA66+30%GF  黑色,V0防火等级，UL黄卡耐候性（VL746C规格）满足f1；",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,3.930027,已上架
795-000757,YN580主梁-右,"""L*W*H：800*70*40mm；管厚1.5mm；材质：6061铝型材，T6时效，攻牙M4表面阳极氧化黑色哑光""",无人机,pcs,个,原材料-组装料,通用机械零件,外购,35.00,,,1.00,91.999967,已上架
525-000155,YN580外关节碳管3.0组件-2号,"L*W*H：964.5*61.8*85.4mm， 材质：QA66+30%CF,黑色; 内嵌不锈钢关节轴套。 壁厚3mm碳管",无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
549-000693,YN580动力电机CCW_Y,,无人机,pcs,个,原材料-包装料,外购设备类,外购,48.00,,,1.00,,已上架
849-000774,M3*55_不锈钢杯头内六角滚花机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 70.1-2008",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
363-000510,TB系列视频线-洋马6118R-后视,长度1.0米外套波纹管HX12-4P母头+HX12-4P公头,智能大屏,pcs,个,原材料-包装料,线束（包装线束）,外购,35.00,,,1.00,,已上架
165-002528,插秧机方向盘LOGO贴(YN新),外径60mm，滴塑带3M9448A背胶,自动驾驶,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,1.00,,,1.00,0.649976,已上架
165-002384,YN525前机臂水管,外径14，内径12，PA局部波纹水管，长度1300mm±5mm    PA水管，乳白色，预弯处理,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
849-000427,M3*10三组合内六角螺钉,不锈钢螺丝；带耐落漆，螺丝要求 180°耐落,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-003237,580V3机头上外罩橙色,橙色PP+30%GF，色号：QT1505C，热熔2颗M3定制铜螺母，外观晒纹,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,35.00,,,1.00,36.480016,已上架
795-000728,终端RAM支架U型底座安装附件包,M5不锈钢螺母（厚度3.7-4mm，镀水蜡）*4；M5不锈钢平垫片(M5*15*1mm)*4；M5不锈钢弹簧垫片*4；M5*43_U型螺栓(高度58mm，镀水蜡)*2 ；以上物料均需满足中性盐雾72小时；强度等级：A2-70;附件包标签需定制(物料编码、物料名称中英文),自动驾驶,pcs,个,原材料-组装料,通用机械零件,外购,30.00,,,1.00,2.662958,已上架
838-000356,中科优化后GPS天线-5m,GPS/BD-25*25*4 陶瓷天线，SG174 线材，线长5m，单频天线，天线防水等级JP67,监测终端,pcs,个,原材料-包装料,天线、传感器&摄像头,外购,35.00,,,1.00,,已上架
165-002309,YN525_前主梁,L*W*H：520*201.5*118.5mm;材质：QA66+30%CF，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,35.00,,,1.00,,已上架
795-000668,YN540S-E14水管螺母,"φ24.5*19.5mm；QA66+30GF,黑色",无人机,pcs,个,原材料-组装料,通用机械零件,外购,35.00,,,1.00,,已上架
849-000528,M2.5*8内六角螺钉,不锈钢螺丝；带耐落漆，螺丝要求：第3到第10个螺牙要整圈涂耐落漆    不锈钢,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-001607,YN540S_作业总线护罩,气橡胶，硬度50°  L*W*H： 93*43.5*37.3mm,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,4.600004,已上架
849-000831,4*10+M3*6不锈钢塞打螺丝，耐落,4*10+M3*6不锈钢塞打螺丝，耐落，螺丝要求：第3到第10个螺牙要整圈涂耐落漆,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
362-000185,YN540 桨夹,YN订制桨夹,无人机,pcs,个,原材料-包装料,无人机组装料,外购,42.00,,,1.00,,已上架
849-000914,M6防松螺母,304不锈钢，本色，强度等级：A2-70，中性盐雾72小时，符合GB/T 70.1-2008,公用物料,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,,已上架
606-000072,YC200包装外箱,"尺寸：430mm*315mm*580mm,加硬本色,无logo印刷,4套/箱",智能播种,pcs,个,原材料-包装料,包装材料,外购,14.00,,,1.00,,已上架
849-000755,Φ6*12+M5*20_不锈钢塞打螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB 6281-1985",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
883-000052,YN501_显示器终端_(海外版)含盖,,自动驾驶,pcs,个,原材料-半成品,408整机,自制,1.00,,,1.00,,已上架
308-000015,YN525外关节碳管组件4号,,无人机,pcs,个,原材料-半成品,HD525整机,自制,1.00,,,1.00,,已上架
849-000419,M2*6_不锈钢杯头内六角滚花机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 70.1-2008",公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-002004,YN580线夹固定底座,43.7*70*20.5，黑色，QA66+30%gf,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
306-000001,YN503显示终端整机（国内）(412),,自动驾驶,pcs,个,原材料-半成品,412整机,自制,1.00,,,1.00,,已上架
525-000040,YN580双目装饰组件BOM,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
795-000659,YN402_霍尔摇杆组件,自动归中摇杆，带6根连接线，尾部6PIN 1.25T连接器,无人机,pcs,个,原材料-组装料,通用机械零件,外购,42.00,,,1.00,,已上架
883-000078,多功能线控手柄,"含手柄及手柄连接线，线束使用 4 芯 28AWG 螺旋电线，螺旋电线未拉开长度 0.8 米，正常使用长度 2 米，螺旋线外径 13mm,线径3.7mm",自动驾驶,pcs,个,原材料-半成品,408整机,自制,1.00,,,1.00,,已上架
165-002367,YN580碳纤维正桨62寸_丝印版,CW桨叶2片，L*W*H：766.3*98*39.1mm     碳纤维,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
849-000003,ST2.0*6自攻,圆头十字尖尾   ST2.0*6   不锈钢,公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
525-000047,YN580前接口板组件_自研电调,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
