billno,materialplanid_number,materialplanid_name,materialattr_title,dropbilltype_name,dropstatus_title,adviseorderqty,bizorderqty,orderdate,advisestartdate,startdate,adviseenddate,enddate,availabledate,planoperatenum,bizdropqty,advisedroptime,droptime,creator_name,rootdemandbillno,closestatus_title,createtime
JHJY-20251218-00035286,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,600.0000,600.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,600.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035288,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,320.0000,320.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,320.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035289,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,80.0000,80.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,80.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035290,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,480.0000,480.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,480.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035291,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,12840.0000,12840.0000,2026-02-17,2026-02-17,2026-02-17,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,12840.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035292,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,1920.0000,1920.0000,2026-02-17,2026-02-17,2026-02-17,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1920.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035293,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,480.0000,480.0000,2026-02-17,2026-02-17,2026-02-17,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,480.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035328,165-002976,友农_插秧机_蘑菇头支架组件（产品铭牌+二维码铭牌+钢印）,外购,生产项目采购申请单,已投放,80.0000,80.0000,2026-01-09,2026-01-09,2026-01-09,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,80.0000,,2025-12-18 21:32:27,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035329,165-002976,友农_插秧机_蘑菇头支架组件（产品铭牌+二维码铭牌+钢印）,外购,生产项目采购申请单,已投放,1344.0000,1344.0000,2026-02-06,2026-02-06,2026-02-06,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1344.0000,,2025-12-18 21:32:27,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035354,838-000294,HX---GPS蘑菇头天线HPS320(黄色),外购,生产项目采购申请单,已投放,864.0000,864.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,864.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035355,838-000294,HX---GPS蘑菇头天线HPS320(黄色),外购,生产项目采购申请单,已投放,32.0000,32.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,32.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035356,838-000294,HX---GPS蘑菇头天线HPS320(黄色),外购,生产项目采购申请单,已投放,8.0000,8.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,8.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035357,838-000294,HX---GPS蘑菇头天线HPS320(黄色),外购,生产项目采购申请单,已投放,48.0000,48.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035358,838-000294,HX---GPS蘑菇头天线HPS320(黄色),外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-01-22,2026-01-22,2026-01-22,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035362,838-000213,408蘑菇头天线底座及固定座（海积）,外购,生产项目采购申请单,已投放,1211.0000,1211.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,1211.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035364,838-000213,408蘑菇头天线底座及固定座（海积）,外购,生产项目采购申请单,已投放,8.0000,8.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,8.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035363,838-000213,408蘑菇头天线底座及固定座（海积）,外购,生产项目采购申请单,已投放,32.0000,32.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,32.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035366,838-000213,408蘑菇头天线底座及固定座（海积）,外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-01-22,2026-01-22,2026-01-22,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035365,838-000213,408蘑菇头天线底座及固定座（海积）,外购,生产项目采购申请单,已投放,48.0000,48.0000,2025-12-25,2025-12-25,2025-12-25,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035385,165-002528,插秧机方向盘LOGO贴(YN新),外购,生产项目采购申请单,已投放,334.0000,334.0000,2026-02-25,2026-02-25,2026-02-25,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,334.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035386,165-002117,插秧机方向盘盖板(不带LOGO),外购,生产项目采购申请单,已投放,770.0000,770.0000,2026-02-05,2026-02-05,2026-02-05,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,770.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035407,165-000120,308终端RAM支架,外购,生产项目采购申请单,已投放,748.0000,748.0000,2026-01-28,2026-01-28,2026-01-28,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,748.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035408,165-000120,308终端RAM支架,外购,生产项目采购申请单,已投放,192.0000,192.0000,2026-01-28,2026-01-28,2026-01-28,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035409,165-000120,308终端RAM支架,外购,生产项目采购申请单,已投放,1429.0000,1429.0000,2026-01-28,2026-01-28,2026-01-28,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1429.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035410,165-000120,308终端RAM支架,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-01-28,2026-01-28,2026-01-28,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035415,606-000853,I406 预组装珍珠棉内托,外购,生产项目采购申请单,已投放,480.0000,480.0000,2026-01-15,2026-01-15,2026-01-15,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,480.0000,,2025-12-18 21:32:27,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035416,606-000853,I406 预组装珍珠棉内托,外购,生产项目采购申请单,已投放,1344.0000,1344.0000,2026-02-12,2026-02-12,2026-02-12,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,1344.0000,,2025-12-18 21:32:27,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035431,795-000349,IMU蘑菇头显示终端安装附件包,外购,生产项目采购申请单,已投放,557.0000,557.0000,2026-02-11,2026-02-11,2026-02-11,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,557.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035432,795-000349,IMU蘑菇头显示终端安装附件包,外购,生产项目采购申请单,已投放,42.0000,42.0000,2026-02-11,2026-02-11,2026-02-11,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,42.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035433,795-000349,IMU蘑菇头显示终端安装附件包,外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-02-12,2026-02-12,2026-02-12,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035434,795-000349,IMU蘑菇头显示终端安装附件包,外购,生产项目采购申请单,已投放,192.0000,192.0000,2026-02-12,2026-02-12,2026-02-12,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035435,795-000349,IMU蘑菇头显示终端安装附件包,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-02-12,2026-02-12,2026-02-12,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035440,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,2307.0000,2307.0000,2026-01-02,2026-01-02,2026-01-02,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,2307.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035441,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,60.0000,60.0000,2026-01-02,2026-01-02,2026-01-02,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,60.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035442,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,24.0000,24.0000,2026-01-02,2026-01-02,2026-01-02,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,24.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035443,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-01-02,2026-01-02,2026-01-02,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035444,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,228.0000,228.0000,2026-01-29,2026-01-29,2026-01-29,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,228.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035446,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,42.0000,42.0000,2026-01-29,2026-01-29,2026-01-29,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,42.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035447,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-01-30,2026-01-30,2026-01-30,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035445,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,2047.0000,2047.0000,2026-01-29,2026-01-29,2026-01-29,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,2047.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035449,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-01-30,2026-01-30,2026-01-30,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035448,165-000257,1号电机支架底板圆柱（L=100mm）,外购,生产项目采购申请单,已投放,192.0000,192.0000,2026-01-30,2026-01-30,2026-01-30,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035468,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,71.0000,71.0000,2025-12-19,2025-12-19,2025-12-19,2025-12-29,2025-12-29,2025-12-29,MRP-20251218-00000100,71.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025120300000014,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035469,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,1675.0000,1675.0000,2026-01-19,2026-01-19,2026-01-19,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,1675.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035470,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,144.0000,144.0000,2026-01-19,2026-01-19,2026-01-19,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,144.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035471,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,480.0000,480.0000,2026-01-19,2026-01-19,2026-01-19,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,480.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035472,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,70.0000,70.0000,2026-01-19,2026-01-19,2026-01-19,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,70.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035473,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,228.0000,228.0000,2026-02-16,2026-02-16,2026-02-16,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,228.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035474,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,2047.0000,2047.0000,2026-02-16,2026-02-16,2026-02-16,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,2047.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035475,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,1344.0000,1344.0000,2026-02-16,2026-02-16,2026-02-16,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,1344.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035476,795-000865,电机1号安装支架附件包,外购,生产项目采购申请单,已投放,42.0000,42.0000,2026-02-16,2026-02-16,2026-02-16,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,42.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035480,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,1974.0000,1974.0000,2026-01-16,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,1974.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035481,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,60.0000,60.0000,2026-01-16,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,60.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035482,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,24.0000,24.0000,2026-01-16,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,24.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035483,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-01-16,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035484,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,1344.0000,1344.0000,2026-02-12,2026-02-12,2026-02-12,2026-02-26,2026-02-26,2026-02-26,MRP-20251218-00000100,1344.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035486,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-02-13,2026-02-13,2026-02-13,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035487,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,192.0000,192.0000,2026-02-13,2026-02-13,2026-02-13,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035485,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,120.0000,120.0000,2026-02-13,2026-02-13,2026-02-13,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,120.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035488,795-000302,电机安装附件包,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-02-13,2026-02-13,2026-02-13,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035494,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,275.0000,275.0000,2025-12-18,2025-12-18,2025-12-18,2025-12-29,2025-12-29,2025-12-29,MRP-20251218-00000100,275.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025120300000014,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035495,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,1675.0000,1675.0000,2025-12-30,2025-12-30,2025-12-30,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,1675.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035496,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,144.0000,144.0000,2025-12-30,2025-12-30,2025-12-30,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,144.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035497,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,480.0000,480.0000,2025-12-30,2025-12-30,2025-12-30,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,480.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035498,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,70.0000,70.0000,2025-12-30,2025-12-30,2025-12-30,2026-01-29,2026-01-29,2026-01-29,MRP-20251218-00000100,70.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035499,795-000728,终端RAM支架U型底座安装附件包,外购,生产项目采购申请单,已投放,60.0000,60.0000,2025-12-31,2025-12-31,2025-12-31,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,60.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
