material_code,material_name,modelnum,huid_productline_name,baseunit_number,baseunit_name,group_name,group_type,materialattr,purchase_fixedleadtime,purchase_huid_batchqty,purchase_huid_minlotsize,product_fixedleadtime,material_standard_price,product_status
525-000100,Sample Business Label 3a1c1c3e,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
994-000527,Sample Business Label b9a1f954,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label d9643929,Purchased,28.00,,,1.00,,Listed
165-002707,Sample Business Label 7f764e16,,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,5.500049,Listed
994-000616,Sample Business Label d53df28d,,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label d9643929,Purchased,42.00,,,1.00,279.999988,Listed
994-000714,Sample Business Label e7fc97bd,,Sample Business Label 491c5f11,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label d9643929,Purchased,35.00,,,1.00,188.000021,Listed
849-000357,Sample Business Label 269533c1,Sample Business Label 91a67adb,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-002269,Sample Business Label 8e1bf3c7,Sample Business Label 85c56384,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
849-000913,Sample Business Label 512e5696,Sample Business Label d4c8902e,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,,Listed
165-001986,Sample Business Label 61c929c1,Sample Business Label 070ab4dd,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
525-000102,Sample Business Label 79038c53,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
165-002313,Sample Business Label 60e7375e,Sample Business Label 90672a51,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
795-000874,Sample Business Label 76000a00,Sample Business Label 68629ed9,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,28.00,,,1.00,35.000055,Listed
972-000696,FLASH,X25Q01JVZEIQ,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,84.00,,,1.00,95.000004,Listed
165-001947,Sample Business Label ba64374e,Sample Business Label b482b76b,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
362-000170,Sample Business Label 636335d3,Sample Business Label 296dda99,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 4d38dc41,In-house,42.00,,,1.00,,Listed
165-002028,Sample Business Label 156f3c0d,Sample Business Label ac59d478,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
525-000016,Sample Business Label 0e79f99f,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
165-001027,Sample Business Label b274d267,Sample Business Label f5cb4563,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
832-000011,Sample Business Label fff4d6f5,,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label f0207843,Sample Business Label 43301d5a,In-house,1.00,,,1.00,,Listed
382-000006,Beidou Agricultural Navigation Controller,Sample Business Label c75635e3,Autonomous Driving,pcs,piece,Sample Business Label e9fffb2c,Sample Business Label 90786501,In-house,1.00,,,1.00,,Listed
165-002031,Sample Business Label fe7a0348,Sample Business Label b736cf95,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
528-000042,Sample Business Label 6e28f10d,,Autonomous Driving,pcs,piece,Sample Business Label f0207843,Sample Business Label b3ea42a5,In-house,,,,1.00,,Listed
165-002316,Sample Business Label 24ebee78,Sample Business Label e499ae02,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
849-000363,Sample Business Label c04c0318,Sample Business Label 6509aeac,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
849-000287,Sample Business Label 518d7a42,Sample Business Label 4a213eed,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,18.00,,,1.00,,Listed
849-000090,Sample Business Label 994cafef,Sample Business Label e584b5d9,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,,Listed
849-000759,Sample Business Label 73ca6754,Sample Business Label bef3a41c,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
972-000738,DDR3L,NT41K128M16JT-207 IT:K,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,112.00,,,1.00,33.599985,Listed
849-000626,Sample Business Label 1c4d2e30,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
849-000753,Sample Business Label 002704d6,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
165-000257,Sample Business Label 8e22ee06,Sample Business Label 03793d39,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,10.799975,Listed
165-002072,Sample Business Label f09c7195,Sample Business Label 1498829b,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
165-000715,Sample Business Label 1561264f,Sample Business Label 0d1a88d5,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,35.00,,,1.00,,Listed
849-000962,Sample Business Label 9bc05ec6,Sample Business Label 0cab4538,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,0.200010,Listed
849-000953,Sample Business Label 5598554e,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,0.100118,Listed
849-000415,Sample Business Label bafaf8f4,Sample Business Label 675c19fb,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
849-000829,Sample Business Label ad43a5ba,Sample Business Label 5b6f1310,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,28.00,,,1.00,,Listed
165-002330,Sample Business Label dcdbe587,Sample Business Label b1c74c92,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
165-002285,Sample Business Label eb38f73c,Sample Business Label 67d2c94a,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
165-001945,Sample Business Label 8746ce9a,Sample Business Label a9039f2c,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
P61-000328,Sample Business Label 8a608f8b,YC402-0-D-14-NHH,Sample Business Label 761a79a0,pcs,piece,Sample Business Label e9fffb2c,Sample Business Label 090fccb0,In-house,1.00,,,1.00,,Listed
165-002352,Sample Business Label 80f5a9ea,Sample Business Label c4f975e2,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
770-000133,Sample Business Label cbe6e5d9,Sample Business Label 1abec7a2,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 25c31db5,Purchased,35.00,,,1.00,,Listed
849-000751,Sample Business Label bdd65aec,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,24.00,,,1.00,,Listed
525-000178,Sample Business Label f9ddd0a3,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,,,,1.00,,Listed
791-000001,Sample Business Label 1f8907c2,Sample Business Label 9e0236af,Autonomous Driving,pcs,piece,Sample Business Label f0207843,Sample Business Label eba66936,Purchased,42.00,,,1.00,500.000027,Listed
165-001335,Sample Business Label 194deea7,Sample Business Label aeda8609,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
838-000318,Sample Business Label fe7a4c49,Sample Business Label 539e8a44,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 6e9ebdaf,Purchased,35.00,,,1.00,,Listed
526-000005,Beidou Agricultural Navigation Controller,Sample Business Label 1f006502,Autonomous Driving,pcs,piece,Sample Business Label e9fffb2c,Sample Business Label 82be4dca,In-house,,,,1.00,,Listed
849-000749,Sample Business Label 416da35d,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,18.00,,,1.00,,Listed
849-001156,Sample Business Label 7efa96e5,Sample Business Label 4a213eed,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,0.098649,Listed
165-001793,Sample Business Label dd37b07a,Sample Business Label 337f0990,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,0.700035,Listed
525-000023,Sample Business Label 91c2ae15,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
165-002593,Sample Business Label 04195315,Sample Business Label c16344a1,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,0.237526,Listed
468-000371,Sample Business Label 1cfcd0d7,Sample Business Label 4dff9fa9,Sample Business Label 761a79a0,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label a5e675d6,Purchased,10.00,,,1.00,,Listed
165-001803,Sample Business Label 5b068a6e,Sample Business Label 89455490,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,3.360055,Listed
849-000871,Sample Business Label fa07c280,Sample Business Label f304ecb5,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-001818,Sample Business Label 52482214,Sample Business Label bd6f1c04,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,1.150001,Listed
308-000036,Sample Business Label ffe0fc2c,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,1.00,,,1.00,,Listed
525-000154,Sample Business Label 3c817cb2,Sample Business Label a99c5c97,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
165-002030,Sample Business Label 48da3554,Sample Business Label 57178fe5,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
972-000493,Sample Business Label b8828692,VM982,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,56.00,,,1.00,249.999957,Listed
784-000184,Sample Business Label 12f66efe,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 7fb842b2,In-house,1.00,,,1.00,,Listed
165-002182,Sample Business Label f46f94e3,Sample Business Label 0ed6dce6,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
972-000747,eMMC,CWEFMD008GN8RC,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,72.00,,,1.00,44.499965,Listed
165-001827,Sample Business Label cfd1701a,Sample Business Label 39119bc5,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,0.949991,Listed
525-000092,Sample Business Label c968affd,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
972-000622,DDR3L,NT5CC256M16ER-EKI,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,84.00,,,1.00,64.839965,Listed
795-000760,Sample Business Label 3420e49a,Sample Business Label 6e08cb21,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,35.00,,,1.00,17.099951,Listed
838-000094,Sample Business Label 6267128c,Sample Business Label ea6bffdc,Autonomous Driving,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 6e9ebdaf,In-house,21.00,,,1.00,,Listed
165-002286,Sample Business Label d9bc1a64,Sample Business Label a64ca6a5,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
276-000105,Sample Business Label 7ce7f014,Sample Business Label f5ab6877,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 9d43fb1c,In-house,,,,1.00,,Listed
525-000020,Sample Business Label 31d5d627,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
308-000028,Sample Business Label 30e0814e,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,1.00,,,1.00,,Listed
795-000871,Sample Business Label 0b5320a7,Sample Business Label 6df6fdb8,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,In-house,21.00,,,1.00,,Listed
165-001787,Sample Business Label 3c4f77ea,Sample Business Label d3e5ff6a,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,4.499999,Listed
308-000019,Sample Business Label a7579ada,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,35.00,,,1.00,,Listed
525-000191,Sample Business Label 1eaa7193,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
362-000183,Sample Business Label 71c1a352,Sample Business Label f78c6ea0,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 4d38dc41,Purchased,42.00,,,1.00,,Listed
308-000025,Sample Business Label 1a96e4db,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,1.00,,,1.00,,Listed
454-000187,Sample Business Label 2b176d5b,TS106,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 5680b573,Purchased,70.00,,,1.00,0.244984,Listed
308-000006,Sample Business Label 49d5b23a,Sample Business Label 40382e5e,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,1.00,,,1.00,,Listed
363-000206,Sample Business Label 6e557c3e,Sample Business Label bf7929ee,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 797c70ef,Purchased,35.00,,,1.00,,Listed
849-000824,Sample Business Label 8b9f9fee,Sample Business Label 35ae2f17,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
849-000744,Sample Business Label 3a350d07,Sample Business Label 3b6265bf,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,24.00,,,1.00,,Listed
358-000081,Sample Business Label a1d3a332,CSS138,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 5bce86f3,Purchased,28.00,,,1.00,0.088027,Listed
165-002348,Sample Business Label 3a8329a4,Sample Business Label 878ae8eb,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
972-000669,Sample Business Label b8828692,VMD982,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 17302eae,Sample Business Label 09caa247,Purchased,42.00,,,1.00,249.999957,Listed
795-000716,Sample Business Label 0cb34750,Sample Business Label 707d7188,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,10.00,,,1.00,,Listed
795-000755,Sample Business Label 45ac2c7f,Sample Business Label 477e6063,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,35.00,,,1.00,57.000025,Listed
525-000094,Sample Business Label 56427870,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
849-000422,Sample Business Label 58c8d584,Sample Business Label bee779e2,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
832-000009,Sample Business Label d5ef3845,Sample Business Label 90a02a16,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label f0207843,Sample Business Label 43301d5a,In-house,1.00,,,1.00,,Listed
849-000421,Sample Business Label 5b43f7e9,Sample Business Label dabfc068,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-003102,Sample Business Label 7d7fe8ad,Sample Business Label 0f25bb56,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,3.930027,Listed
795-000757,Sample Business Label 6ca1b30b,Sample Business Label dc63a689,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,35.00,,,1.00,91.999967,Listed
525-000155,Sample Business Label 897f21bb,Sample Business Label f8f11796,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
549-000693,Sample Business Label 417763ab,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 5b88d24a,Purchased,48.00,,,1.00,,Listed
849-000774,Sample Business Label 9e274d78,Sample Business Label 4a213eed,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
363-000510,Sample Business Label 4650b85d,Sample Business Label 9321d9ef,Sample Business Label 735ac064,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 797c70ef,Purchased,35.00,,,1.00,,Listed
165-002528,Sample Business Label 78398dc4,Sample Business Label 97c160ed,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,1.00,,,1.00,0.649976,Listed
165-002384,Sample Business Label 82b7cd09,Sample Business Label fc9af1de,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
849-000427,Sample Business Label 4ce0ee83,Sample Business Label 8f1c3a88,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-003237,Sample Business Label 08a8a0ef,Sample Business Label 42beb98c,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,35.00,,,1.00,36.480016,Listed
795-000728,Sample Business Label ceff8842,Sample Business Label e3ab3ace,Autonomous Driving,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,30.00,,,1.00,2.662958,Listed
838-000356,Sample Business Label bc25c9db,Sample Business Label 214f6b88,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 6e9ebdaf,Purchased,35.00,,,1.00,,Listed
165-002309,Sample Business Label 21bed429,Sample Business Label 50010763,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,35.00,,,1.00,,Listed
795-000668,Sample Business Label 8bdff54e,Sample Business Label 2d19d00e,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,35.00,,,1.00,,Listed
849-000528,Sample Business Label 0ecc2760,Sample Business Label 1bc27bc6,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-001607,Sample Business Label 793fff1d,Sample Business Label f9aeb687,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,4.600004,Listed
849-000831,Sample Business Label a3127426,Sample Business Label 99b54cc4,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
362-000185,Sample Business Label ceba3a1d,Sample Business Label 1af180f4,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 4d38dc41,Purchased,42.00,,,1.00,,Listed
849-000914,Sample Business Label d35204b6,Sample Business Label 7bffb108,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,1.00,,,1.00,,Listed
606-000072,Sample Business Label 7569d7b5,Sample Business Label fbc198fa,Sample Business Label 761a79a0,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 84fc6382,Purchased,14.00,,,1.00,,Listed
849-000755,Sample Business Label 2fbd0039,Sample Business Label 9808bb81,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
883-000052,Sample Business Label 19047418,,Autonomous Driving,pcs,piece,Sample Business Label f0207843,Sample Business Label 42ea933a,In-house,1.00,,,1.00,,Listed
308-000015,Sample Business Label f15d95b6,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 813d8697,In-house,1.00,,,1.00,,Listed
849-000419,Sample Business Label 6b81e8e7,Sample Business Label 4a213eed,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,13.00,,,1.00,,Listed
165-002004,Sample Business Label c9c8c397,Sample Business Label 1d05a26d,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
306-000001,Sample Business Label 440fbad5,,Autonomous Driving,pcs,piece,Sample Business Label f0207843,Sample Business Label afdb7944,In-house,1.00,,,1.00,,Listed
525-000040,Sample Business Label 54bc505f,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 8e427e07,In-house,1.00,,,1.00,,Listed
795-000659,Sample Business Label 18664adc,Sample Business Label 1f14efa5,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 2d85aff0,Purchased,42.00,,,1.00,,Listed
883-000078,Sample Business Label aef50034,Sample Business Label 50067f50,Autonomous Driving,pcs,piece,Sample Business Label f0207843,Sample Business Label 42ea933a,In-house,1.00,,,1.00,,Listed
165-002367,Sample Business Label bd9dba42,Sample Business Label efb3f234,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
