seq_no,bom_version,bom_material_code,bom_level,material_code,material_name,usage_numerator,usage_denominator,standard_usage,variable_loss_rate,demand_quantity,alt_group_no,alt_part,alt_priority,alt_method,parent_material_code
15,2026-08-05,382-000005,2,849-000211,1号电机支架抱箍A（S22）,1.000000,1.000000,1.000000,0.00,1.000000,1,√,1,替代,791-000013
16,2026-08-05,382-000005,2,606-000852,I406 预组装外箱,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
17,2026-08-05,382-000005,2,606-000853,I406 预组装珍珠棉内托,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
18,2026-08-05,382-000005,2,795-000130,显示终端安装附件包,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
19,2026-08-05,382-000005,2,795-000728,终端RAM支架U型底座安装附件包,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
20,2026-08-05,382-000005,2,795-000302,电机安装附件包,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
21,2026-08-05,382-000005,2,165-000257,1号电机支架底板圆柱（L=100mm）,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
22,2026-08-05,382-000005,2,795-000865,电机1号安装支架附件包,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
23,2026-08-05,382-000005,2,795-000133,线束安装附件包,10.000000,1.000000,10.000000,0.00,10.000000,0,,0,,791-000013
24,2026-08-05,382-000005,2,606-000012,4号自封袋,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
25,2026-08-05,382-000005,2,528-000031,YS221A接收机整机_国内版_整机,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000036
26,2026-08-05,382-000005,2,165-003886,接收机可调节底座,2.000000,1.000000,2.000000,0.00,2.000000,1,,0,替代,528-000036
27,2026-08-05,382-000005,2,849-001021,M6X16不锈钢外六角三组合螺丝_半耐落,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,528-000036
28,2026-08-05,382-000005,2,165-002658,YS221接收机支架底座(带背胶),2.000000,1.000000,2.000000,0.00,2.000000,1,√,1,替代,528-000036
29,2026-08-05,382-000005,2,549-000880,方向盘本体_铭牌_杭州明日,1.000000,1.000000,1.000000,0.00,1.000000,9,,0,替代,791-000007
30,2026-08-05,382-000005,2,549-000881,方向盘本体_铭牌_宁波威盛,1.000000,1.000000,1.000000,0.00,1.000000,9,√,1,替代,791-000007
31,2026-08-05,382-000005,2,549-001813,方向盘本体_铭牌_AG,1.000000,1.000000,1.000000,0.00,1.000000,9,√,2,替代,791-000007
32,2026-08-05,382-000005,2,165-001299,方向盘盖板_ODM_威盛,1.000000,1.000000,1.000000,0.00,1.000000,10,,0,替代,791-000007
33,2026-08-05,382-000005,2,165-001235,方向盘盖板（无logo）,1.000000,1.000000,1.000000,0.00,1.000000,10,√,1,替代,791-000007
34,2026-08-05,382-000005,2,165-002527,拖拉机方向盘LOGO贴(YN新),1.000000,1.000000,1.000000,0.00,1.000000,8,,0,替代,791-000007
35,2026-08-05,382-000005,2,165-002281,拖拉机方向盘LOGO贴(YN),1.000000,1.000000,1.000000,0.00,1.000000,8,√,1,替代,791-000007
36,2026-08-05,382-000005,2,791-000001,406电机(KY),1.000000,1.000000,1.000000,0.00,1.000000,11,,0,替代,791-000007
37,2026-08-05,382-000005,2,791-000004,406电机(SL),1.000000,1.000000,1.000000,0.00,1.000000,11,√,1,替代,791-000007
38,2026-08-05,382-000005,2,849-000288,M4*22_不锈钢杯头内六角滚花机牙螺丝_整圈耐落,6.000000,1.000000,6.000000,0.00,6.000000,0,,0,,791-000007
39,2026-08-05,382-000005,2,791-000003,YN403（406）整机,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000015
40,2026-08-05,382-000005,2,165-000120,308终端RAM支架,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000015
41,2026-08-05,382-000005,2,849-000987,M5*22_不锈钢内六角机牙螺丝_整圈耐落,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,791-000015
42,2026-08-05,382-000005,3,588-000712,YS221_P0_(四信+M2-BD)S01_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
43,2026-08-05,382-000005,3,838-000403,YS221-TNC转IPEX连接线,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
44,2026-08-05,382-000005,3,838-000410,YS221B-GPS天线-ZDXW,1.000000,1.000000,1.000000,0.00,1.000000,2,,0,替代,528-000031
45,2026-08-05,382-000005,3,838-000412,YS221-GPS天线-海积,1.000000,1.000000,1.000000,0.00,1.000000,2,√,1,替代,528-000031
46,2026-08-05,382-000005,3,165-002644,YS221接收机上壳,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
47,2026-08-05,382-000005,3,165-002702,YS221接收机下壳(P+R),1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
48,2026-08-05,382-000005,3,165-002646,YS221接收机防水硅胶件,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
49,2026-08-05,382-000005,3,994-000606,YS221_M16-12P信号转接线,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
50,2026-08-05,382-000005,3,165-002708,TNC防尘堵头,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
51,2026-08-05,382-000005,3,165-000722,YN501_M16连接器防水胶套,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
52,2026-08-05,382-000005,3,165-002647,GPS散热硅胶垫,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
53,2026-08-05,382-000005,3,849-000382,M16*E19*L2.8六角螺母,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
54,2026-08-05,382-000005,3,849-000717,812 M5防水透气阀,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
55,2026-08-05,382-000005,3,849-000204,M3*10不锈钢耐落机制螺丝,9.000000,1.000000,9.000000,0.00,9.000000,0,,0,,528-000031
56,2026-08-05,382-000005,3,849-000700,M3*6-不锈钢十字圆头机牙螺丝_半耐落,12.000000,1.000000,12.000000,0.00,12.000000,0,,0,,528-000031
57,2026-08-05,382-000005,3,468-000565,YS221固定标签(国内),1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,528-000031
58,2026-08-05,382-000005,3,588-000726,YN403_MAINBOARD_P2_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
59,2026-08-05,382-000005,3,588-000654,YN403_KEYBOARD_P0_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
60,2026-08-05,382-000005,3,588-000655,YN403_4GBOARD_P0_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
61,2026-08-05,382-000005,3,165-002372,YN403_后壳,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
62,2026-08-05,382-000005,3,165-002375,YN403_SIM卡盖板,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
63,2026-08-05,382-000005,3,165-002376,YN403_防水硅胶圈,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
64,2026-08-05,382-000005,3,165-002377,YN403_USB防水密封圈,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
65,2026-08-05,382-000005,3,165-002378,YN403_SIM卡防水密封圈,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
66,2026-08-05,382-000005,3,364-000068,YN501_喇叭带线束(DD),1.000000,1.000000,1.000000,0.00,1.000000,1,√,1,替代,791-000003
67,2026-08-05,382-000005,3,849-000846,M2.5*6-不锈钢十字圆头机牙螺丝_半耐落,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,791-000003
68,2026-08-05,382-000005,3,182-000055,一卡三通NaNo物联卡（腾讯薄款）,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
69,2026-08-05,382-000005,3,838-000375,YN406-4G天线,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
70,2026-08-05,382-000005,3,838-000376,YN406-WIFI天线,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
71,2026-08-05,382-000005,3,165-002405,YN403_导电泡棉3,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
72,2026-08-05,382-000005,3,165-002408,YN403_导电泡棉6,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,791-000003
73,2026-08-05,382-000005,3,791-000012,YN403_前壳预装组件_不带终端互联,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
74,2026-08-05,382-000005,3,364-000048,YN501_喇叭,1.000000,1.000000,1.000000,0.00,1.000000,1,,0,替代,791-000003
75,2026-08-05,382-000005,3,165-000229,701pro密封圈（摄像头）,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,791-000003
76,2026-08-05,382-000005,3,795-000176,308终端防水透气膜,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
77,2026-08-05,382-000005,3,849-000943,M3*6十字薄头螺丝,9.000000,1.000000,9.000000,0.00,9.000000,0,,0,,791-000003
78,2026-08-05,382-000005,3,849-000700,M3*6-不锈钢十字圆头机牙螺丝_半耐落,10.000000,1.000000,10.000000,0.00,10.000000,0,,0,,791-000003
79,2026-08-05,382-000005,3,849-000204,M3*10不锈钢耐落机制螺丝,14.000000,1.000000,14.000000,0.00,14.000000,0,,0,,791-000003
80,2026-08-05,382-000005,3,849-000392,ST2.6*6-镀锌铁十字圆头尖尾自攻螺丝,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,791-000003
81,2026-08-05,382-000005,3,849-000208,M12*E19*L2.5六角螺帽,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,791-000003
82,2026-08-05,382-000005,3,849-000717,812 M5防水透气阀,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000003
83,2026-08-05,382-000005,3,165-000266,701pro摄像头连接器防水胶套,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,791-000003
84,2026-08-05,382-000005,4,725-000276,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,10,,0,替代,588-000712
85,2026-08-05,382-000005,4,725-000309,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,10,√,1,替代,588-000712
86,2026-08-05,382-000005,4,356-000098,2*14P双排排母,1.000000,1.000000,1.000000,0.00,1.000000,6,,0,替代,588-000712
87,2026-08-05,382-000005,4,356-000639,双排排母-28P(WP),1.000000,1.000000,1.000000,0.00,1.000000,6,√,1,替代,588-000712
88,2026-08-05,382-000005,4,356-000062,天线底座,2.000000,1.000000,2.000000,0.00,2.000000,7,,0,替代,588-000712
89,2026-08-05,382-000005,4,356-000355,天线底座MMCX-JE-7536,2.000000,1.000000,2.000000,0.00,2.000000,7,√,1,替代,588-000712
90,2026-08-05,382-000005,4,356-000061,天线底座,1.000000,1.000000,1.000000,0.00,1.000000,8,,0,替代,588-000712
91,2026-08-05,382-000005,4,356-000356,天线底座MMCX-KE-7536,1.000000,1.000000,1.000000,0.00,1.000000,8,√,1,替代,588-000712
92,2026-08-05,382-000005,4,356-000139,MMCX母座加高型,1.000000,1.000000,1.000000,0.00,1.000000,9,,0,替代,588-000712
93,2026-08-05,382-000005,4,356-000311,MMCX母座加高型,1.000000,1.000000,1.000000,0.00,1.000000,9,√,1,替代,588-000712
94,2026-08-05,382-000005,4,725-000176,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
95,2026-08-05,382-000005,4,725-000357,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000712
96,2026-08-05,382-000005,4,725-000179,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000712
97,2026-08-05,382-000005,4,725-000320,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
98,2026-08-05,382-000005,4,725-000226,贴片陶瓷电容,24.000000,1.000000,24.000000,0.00,24.000000,0,,0,,588-000712
99,2026-08-05,382-000005,4,725-000086,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
100,2026-08-05,382-000005,4,725-000307,贴片陶瓷电容,10.000000,1.000000,10.000000,0.00,10.000000,0,,0,,588-000712
101,2026-08-05,382-000005,4,725-000105,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
102,2026-08-05,382-000005,4,539-000022,贴片电阻,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000712
103,2026-08-05,382-000005,4,539-000276,贴片电阻,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000712
104,2026-08-05,382-000005,4,539-000026,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
105,2026-08-05,382-000005,4,539-000002,贴片电阻,22.000000,1.000000,22.000000,0.00,22.000000,0,,0,,588-000712
106,2026-08-05,382-000005,4,539-000267,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
107,2026-08-05,382-000005,4,539-000028,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
108,2026-08-05,382-000005,4,539-000106,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
109,2026-08-05,382-000005,4,539-000154,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
110,2026-08-05,382-000005,4,539-000162,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
111,2026-08-05,382-000005,4,539-000005,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
112,2026-08-05,382-000005,4,539-000025,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
113,2026-08-05,382-000005,4,539-000006,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
114,2026-08-05,382-000005,4,539-000008,贴片电阻,5.000000,1.000000,5.000000,0.00,5.000000,0,,0,,588-000712
115,2026-08-05,382-000005,4,539-000247,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
116,2026-08-05,382-000005,4,539-000411,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
117,2026-08-05,382-000005,4,539-000045,贴片电阻,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000712
118,2026-08-05,382-000005,4,539-000018,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
119,2026-08-05,382-000005,4,539-000047,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
120,2026-08-05,382-000005,4,539-000048,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
121,2026-08-05,382-000005,4,539-000271,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
122,2026-08-05,382-000005,4,454-000310,肖特基二极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
123,2026-08-05,382-000005,4,454-000213,贴片开关二极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
124,2026-08-05,382-000005,4,454-000347,ESD静电保护管,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
125,2026-08-05,382-000005,4,356-000602,12P双排卧插连接器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
126,2026-08-05,382-000005,4,358-000091,NPN三极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
127,2026-08-05,382-000005,4,454-000319,TVS二极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
128,2026-08-05,382-000005,4,733-000121,贴片共模电感,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
129,2026-08-05,382-000005,4,733-000129,绕线贴片功率电感,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
130,2026-08-05,382-000005,4,733-000130,贴片功率电感,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
131,2026-08-05,382-000005,4,972-000475,电源芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
132,2026-08-05,382-000005,4,972-000815,DC-DC电源芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
133,2026-08-05,382-000005,4,972-000323,SS232收发器,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
134,2026-08-05,382-000005,4,972-000528,四信LORA 模组,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
135,2026-08-05,382-000005,4,588-000649,YS210_自研IMU模块_P1_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
136,2026-08-05,382-000005,4,972-000610,CAN收发器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
137,2026-08-05,382-000005,4,321-000543,YS221_P0_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
138,2026-08-05,382-000005,4,849-000011,贴片螺母,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000712
139,2026-08-05,382-000005,4,849-000215,1.37线径射频线夹,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
140,2026-08-05,382-000005,4,849-000700,M3*6-不锈钢十字圆头机牙螺丝_半耐落,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000712
141,2026-08-05,382-000005,4,849-000484,M3X7.5+4单头六角不锈钢螺柱，六角对边尺寸4.6,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
142,2026-08-05,382-000005,4,849-000023,M3X8+4单头六角铜柱，六角对边尺寸4.6,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000712
143,2026-08-05,382-000005,4,588-000620,GPS模块M20_P2_S01_PCBA,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000712
144,2026-08-05,382-000005,4,539-000631,贴片电阻,28.000000,1.000000,28.000000,0.00,28.000000,0,,0,,588-000726
145,2026-08-05,382-000005,4,321-000556,YN403_Mainboard_P2_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000726
146,2026-08-05,382-000005,4,972-000747,eMMC,1.000000,1.000000,1.000000,0.00,1.000000,94,,0,替代,588-000726
147,2026-08-05,382-000005,4,972-000737,EMMC,1.000000,1.000000,1.000000,0.00,1.000000,94,√,1,替代,588-000726
148,2026-08-05,382-000005,4,733-000036,贴片共模电感,1.000000,1.000000,1.000000,0.00,1.000000,48,,0,替代,588-000726
149,2026-08-05,382-000005,4,733-000153,贴片共模电感,1.000000,1.000000,1.000000,0.00,1.000000,48,√,1,替代,588-000726
150,2026-08-05,382-000005,4,972-000662,同步降压转换器,2.000000,1.000000,2.000000,0.00,2.000000,49,,0,替代,588-000726
151,2026-08-05,382-000005,4,554-000056,DC-DC芯片,2.000000,1.000000,2.000000,0.00,2.000000,49,√,1,替代,588-000726
152,2026-08-05,382-000005,4,733-000214,贴片共模电感,5.000000,1.000000,5.000000,0.00,5.000000,50,,0,替代,588-000726
153,2026-08-05,382-000005,4,733-000050,贴片共模电感,5.000000,1.000000,5.000000,0.00,5.000000,50,√,1,替代,588-000726
154,2026-08-05,382-000005,4,972-000332,SS485收发器,1.000000,1.000000,1.000000,0.00,1.000000,51,,0,替代,588-000726
155,2026-08-05,382-000005,4,972-000324,SS485收发器,1.000000,1.000000,1.000000,0.00,1.000000,51,√,1,替代,588-000726
156,2026-08-05,382-000005,4,972-000254,IC 数据缓冲器,1.000000,1.000000,1.000000,0.00,1.000000,52,,0,替代,588-000726
157,2026-08-05,382-000005,4,972-000742,逻辑芯片,1.000000,1.000000,1.000000,0.00,1.000000,52,√,1,替代,588-000726
158,2026-08-05,382-000005,4,527-000025,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,53,,0,替代,588-000726
159,2026-08-05,382-000005,4,527-000057,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,53,√,1,替代,588-000726
160,2026-08-05,382-000005,4,725-000053,贴片铝电解电容,1.000000,1.000000,1.000000,0.00,1.000000,54,,0,替代,588-000726
161,2026-08-05,382-000005,4,725-000341,贴片铝电解电容,1.000000,1.000000,1.000000,0.00,1.000000,54,√,1,替代,588-000726
162,2026-08-05,382-000005,4,725-000012,贴片陶瓷电容,109.000000,1.000000,109.000000,0.00,109.000000,55,,0,替代,588-000726
163,2026-08-05,382-000005,4,725-000226,贴片陶瓷电容,109.000000,1.000000,109.000000,0.00,109.000000,55,√,1,替代,588-000726
164,2026-08-05,382-000005,4,725-000334,贴片陶瓷电容,109.000000,1.000000,109.000000,0.00,109.000000,55,√,2,替代,588-000726
165,2026-08-05,382-000005,4,725-000049,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,56,,0,替代,588-000726
166,2026-08-05,382-000005,4,725-000114,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,56,√,1,替代,588-000726
167,2026-08-05,382-000005,4,725-000003,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,57,,0,替代,588-000726
168,2026-08-05,382-000005,4,725-000178,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,57,√,1,替代,588-000726
169,2026-08-05,382-000005,4,725-000333,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,57,√,2,替代,588-000726
170,2026-08-05,382-000005,4,725-000005,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,58,,0,替代,588-000726
171,2026-08-05,382-000005,4,725-000179,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,58,√,1,替代,588-000726
172,2026-08-05,382-000005,4,725-000367,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,58,√,2,替代,588-000726
173,2026-08-05,382-000005,4,725-000030,贴片陶瓷电容,8.000000,1.000000,8.000000,0.00,8.000000,59,,0,替代,588-000726
174,2026-08-05,382-000005,4,725-000320,贴片陶瓷电容,8.000000,1.000000,8.000000,0.00,8.000000,59,√,1,替代,588-000726
175,2026-08-05,382-000005,4,725-000368,贴片陶瓷电容,8.000000,1.000000,8.000000,0.00,8.000000,59,√,2,替代,588-000726
176,2026-08-05,382-000005,4,725-000031,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,60,,0,替代,588-000726
177,2026-08-05,382-000005,4,725-000329,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,60,√,1,替代,588-000726
178,2026-08-05,382-000005,4,725-000217,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,60,√,2,替代,588-000726
179,2026-08-05,382-000005,4,725-000028,贴片陶瓷电容,10.000000,1.000000,10.000000,0.00,10.000000,61,,0,替代,588-000726
180,2026-08-05,382-000005,4,725-000294,贴片陶瓷电容,10.000000,1.000000,10.000000,0.00,10.000000,61,√,1,替代,588-000726
181,2026-08-05,382-000005,4,725-000328,贴片陶瓷电容,10.000000,1.000000,10.000000,0.00,10.000000,61,√,2,替代,588-000726
182,2026-08-05,382-000005,4,725-000182,贴片陶瓷电容,11.000000,1.000000,11.000000,0.00,11.000000,93,,0,替代,588-000726
183,2026-08-05,382-000005,4,725-000070,贴片陶瓷电容,11.000000,1.000000,11.000000,0.00,11.000000,93,√,1,替代,588-000726
184,2026-08-05,382-000005,4,725-000177,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,62,,0,替代,588-000726
185,2026-08-05,382-000005,4,725-000364,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,62,√,1,替代,588-000726
186,2026-08-05,382-000005,4,725-000116,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,63,,0,替代,588-000726
187,2026-08-05,382-000005,4,725-000224,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,63,√,1,替代,588-000726
188,2026-08-05,382-000005,4,725-000405,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,63,√,2,替代,588-000726
189,2026-08-05,382-000005,4,725-000010,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,64,,0,替代,588-000726
190,2026-08-05,382-000005,4,725-000359,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,64,√,1,替代,588-000726
191,2026-08-05,382-000005,4,725-000123,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,65,,0,替代,588-000726
192,2026-08-05,382-000005,4,725-000349,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,65,√,1,替代,588-000726
193,2026-08-05,382-000005,4,725-000029,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,66,,0,替代,588-000726
194,2026-08-05,382-000005,4,725-000319,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,66,√,1,替代,588-000726
195,2026-08-05,382-000005,4,725-000365,贴片陶瓷电容,7.000000,1.000000,7.000000,0.00,7.000000,66,√,2,替代,588-000726
196,2026-08-05,382-000005,4,725-000024,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,67,,0,替代,588-000726
197,2026-08-05,382-000005,4,725-000176,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,67,√,1,替代,588-000726
198,2026-08-05,382-000005,4,725-000361,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,67,√,2,替代,588-000726
